hotel name,address_link
Premier Inn Dubai International Airport,Dubai International Airport,https://www.expedia.com.hk/en/Dubai-Hotels-Premier-Inn-Dubai-International-Airport.h3125411.Hotel-Information
The Standard London,10 Argyle Street,https://www.expedia.com/London-Hotels-The-Standard-London.h34928032.Hotel-Information
Hotel Le Cardinal,3 rue du Cardinal Mercier,https://www.expedia.com/Paris-Hotels-Hotel-Le-Cardinal.h863813.Hotel-Information
Hotel Le Cardinal,3 rue du Cardinal Mercier,https://www.expedia.com/Paris-Hotels-The-Originals-City.h1112413.Hotel-Information
Mamilla Hotel,11 King Solomon St.,https://www.expedia.com/Jerusalem-Hotels-Mamilla-Hotel.h2784087.Hotel-Information
Mamilla Hotel,11 King Solomon St.,https://www.expedia.com/Jerusalem-Hotels-Mamillas-Penthouse.h23931611.Hotel-Information
Hotel not found!,Unreal Street,
